"국가(대륙)별","상품군별","판매유형별","시점",데이터
"중국","서 적","면세점 이외","2020.1/4",1575
"중국","서 적","면세점 이외","2020.2/4",1591
"중국","서 적","면세점 이외","2020.3/4",1829
"중국","서 적","면세점 이외","2020.4/4",1664
"중국","서 적","면세점 이외","2021.1/4",3616
"중국","서 적","면세점 이외","2021.2/4",3149
"중국","서 적","면세점 이외","2021.3/4",3324
"중국","서 적","면세점 이외","2021.4/4",3762
"중국","서 적","면세점 이외","2022.1/4",3309
"중국","서 적","면세점 이외","2022.2/4 p)",4448
"중국","사무·문구","면세점 이외","2017.1/4",119
"중국","사무·문구","면세점 이외","2017.2/4",73
"중국","사무·문구","면세점 이외","2017.3/4",41
"중국","사무·문구","면세점 이외","2017.4/4",95
"중국","사무·문구","면세점 이외","2018.1/4",59
"중국","사무·문구","면세점 이외","2018.2/4",81
"중국","사무·문구","면세점 이외","2018.3/4",60
"중국","사무·문구","면세점 이외","2018.4/4",95
"중국","사무·문구","면세점 이외","2019.1/4",52
"중국","사무·문구","면세점 이외","2019.2/4",48
"중국","사무·문구","면세점 이외","2019.3/4",44
"중국","사무·문구","면세점 이외","2019.4/4",43
"중국","사무·문구","면세점 이외","2020.1/4",258
"중국","사무·문구","면세점 이외","2020.2/4",76
"중국","사무·문구","면세점 이외","2020.3/4",48
"중국","사무·문구","면세점 이외","2020.4/4",21
"중국","사무·문구","면세점 이외","2021.1/4",53
"중국","사무·문구","면세점 이외","2021.2/4",54
"중국","사무·문구","면세점 이외","2021.3/4",109
"중국","사무·문구","면세점 이외","2021.4/4",47
"중국","사무·문구","면세점 이외","2022.1/4",73
"중국","사무·문구","면세점 이외","2022.2/4 p)",213
"중국","음반·비디오·악기","면세점 이외","2017.1/4",1629
"중국","음반·비디오·악기","면세점 이외","2017.2/4",1346
"중국","음반·비디오·악기","면세점 이외","2017.3/4",3026
"중국","음반·비디오·악기","면세점 이외","2017.4/4",2436
"중국","음반·비디오·악기","면세점 이외","2018.1/4",1850
"중국","음반·비디오·악기","면세점 이외","2018.2/4",3003
"중국","음반·비디오·악기","면세점 이외","2018.3/4",4519
"중국","음반·비디오·악기","면세점 이외","2018.4/4",5674
"중국","음반·비디오·악기","면세점 이외","2019.1/4",3447
"중국","음반·비디오·악기","면세점 이외","2019.2/4",9077
"중국","음반·비디오·악기","면세점 이외","2019.3/4",10470
"중국","음반·비디오·악기","면세점 이외","2019.4/4",13199
"중국","음반·비디오·악기","면세점 이외","2020.1/4",18103
"중국","음반·비디오·악기","면세점 이외","2020.2/4",26697
"중국","음반·비디오·악기","면세점 이외","2020.3/4",32589
"중국","음반·비디오·악기","면세점 이외","2020.4/4",47689
"중국","음반·비디오·악기","면세점 이외","2021.1/4",13339
